# name_mcp          name_NED                   ra_mcp_1      dec_mcp_1      redshift_maser   Lum_dis   maser   L_12um_bestfit_1   chi2_maser   logL_OIII_C   ref_num_3  
  2MASXJ06411806+   2MASXJ06411806+3249313     100.3251667   32.82541667    0.04697          208.44    0       43.71              0.276        ---           ---        
  CGCG145-003       CGCG145-003                100.3460417   32.92736111    0.01718          74.59     0       40.11              0.124        ---           ---        
  NGC2273           NGC2273                    102.5360729   60.84591667    0.00613          26.39     4       42.61              0.043        41.15         2          
  Mrk6              IC450                      103.0510458   74.42694444    0.0188           81.73     0       43.77              1.434        42.90         5          
  UGC3601           UGC3601                    103.9563583   40.00030556    0.01711          74.29     0       41.91              0.015        ---           ---        
  UGC3752           UGC3752                    108.5160833   35.27919444    0.01568          68.0      0       43.48              0.037        ---           ---        
  MRK376            MRK376                     108.5627917   45.69880556    0.05594          249.84    0       44.61              0.401        ---           ---        
  2MASXJ07180060+   2MASXJ07180060+4405271     109.5024167   44.09086111    0.0614           275.28    0       44.16              0.221        ---           ---        
  UGC3789           UGC3789                    109.8788333   59.35502778    0.01109          46.93     4       42.08              0.032        ---           ---        
  NGC2388           NGC2388                    112.2226708   33.81919444    0.01378          59.68     0       42.95              1.332        41.11         6          
  NGC-2389          NGC2388E                   112.269375    33.86097222    0.01319          57.1      0       41.81              0.536        ---           ---        
  NGC-2300          NGC2300                    113.083225    85.70886111    0.00635          27.35     0       39.67              1.121        ---           ---        
  MARK9             MARK9                      114.2374125   58.77044444    0.03985          175.94    0       44.11              0.334        ---           ---        
  Mrk79             UGC3973                    115.6366542   49.80969444    0.02217          96.62     0       43.98              13.13        41.61         5          
  Mrk78             Mrk78                      115.6738792   65.17697222    0.03712          163.56    4       43.77              1.102        43.29         8          
  MRK10             UGC4013                    116.8713833   60.93352778    0.02923          128.06    0       43.26              0.133        ---           ---        
  Mrk382            Mrk382                     118.8554      39.18611111    0.03366          147.94    0       43.26              0.822        ---           ---        
  B20755+37         NGC2484                    119.6171171   37.78663889    0.04281          189.41    0       42.19              1.945        40.36         1          
  CGCG118-036       CGCG118-036                119.9728333   23.39008333    0.02916          127.74    0       43.68              1.462        40.91         1          
  07570+2334        CGCG118-038                120.0168792   23.43777778    0.02921          127.97    0       42.45              2.873        ---           ---        
  IC486             IC486                      120.0874333   26.61352778    0.02686          117.47    0       43.53              1.832        41.56         1          
  SDSSJ08034+084    2MASXJ08032736+0841523     120.8641      8.697916667    0.0467           207.2     0       43.16              2.305        43.95         7          
  080359+234520     2MASXJ08035923+2345201     120.9966708   23.75563889    0.02938          128.73    0       42.47              1.455        41.20         1          
  Mrk1210           PhoenixGalaxy              121.0244083   5.113833333    0.01349          58.41     4       43.52              1.642        42.36         3          
  MCG+02-21-013     UGC4211                    121.19325     10.77666667    0.03441          151.32    0       43.29              0.033        41.47         1          
  3C192             3C192                      121.3958167   24.16386111    0.05967          267.2     0       41.48              2.59         41.52         1          
  SDSSJ08064+2419   2MASXJ08062980+2419560     121.6241958   24.33213889    0.0416           183.9     0       42.42              1.467        ---           ---        
  Mrk622            UGC4229                    121.9209792   39.00416667    0.02321          101.23    0       43.01              1.151        40.86         1          
  RXSJ08189-2252    2MASXJ08185772-2252364     124.7405      -22.87666667   0.03456          152.0     0       42.68              0.042        ---           ---        
  NGC-2563          NGC2563                    125.1486875   21.06783333    0.01493          64.72     0       40.78              2.728        37.58         1          
  MCG-01.22.006     FAIRALL0272                125.7545833   -4.934888889   0.0218           94.98     0       43.11              2.216        ---           ---        
  082443+295923     2MASXJ08244333+2959238     126.1803583   29.98975       0.02531          110.56    0       43.77              2.609        41.50         1          
  SDSSJ08292+5006   SDSSJ082912.67+500652.3    127.3028333   50.1145        0.04333          191.79    0       42.6               0.44         ---           ---        
  NGC-2613          NGC2613                    128.3451667   -22.97363889   0.00559          24.06     0       41.44              0.263        ---           ---        
  J083529+250139    NGC2611                    128.8715417   25.0275        0.01752          76.09     0       42.4               0.179        40.04         1          
  He2-10            ESO495-G021                129.0630583   -26.40936111   0.00291          12.5      1       41.54              0.087        ---           ---        
  NGC2622           NGC2622                    129.5455958   24.89525       0.0286           125.24    0       42.61              1.008        ---           ---        
  SDSSJ08416+5455   2MASXJ08413787+5455069     130.4078125   54.91847222    0.04462          197.68    0       43.32              4.464        41.70         1          
  NGC2639           NGC2639                    130.9086575   50.20558333    0.01112          48.06     2       41.48              0.299        40.13         2          
  NGC-2633          NGC2633                    132.0190833   74.09880556    0.0072           31.03     0       42.14              0.031        ---           ---        
  NGC2683           NGC2683                    133.1722      33.42180556    0.00138          5.92      0       39.68              0.283        37.50         2          
  NGC2681           NGC2681                    133.3864167   51.31361111    0.00231          9.92      0       41.27              1.33         38.77         2          
  08551254+642345   MCG+11-11-032              133.802275    64.39602778    0.03623          159.54    0       43.1               2.041        41.36         1          
  NGC2685           NGC2685                    133.8946292   58.73447222    0.00294          12.63     0       39.12              0.214        38.97         2          
  NGC-2655          NGC2655                    133.9072083   78.22305556    0.00467          20.09     0       41.77              0.154        39.93         2          
  NGC-2712          NGC2712                    134.876975    44.91397222    0.00605          26.05     0       41.78              0.505        40.15         7          
  Mrk18             UGC4730                    135.4933208   60.15163889    0.01108          47.89     0       42.66              0.57         40.45         1          
  2MASXJ09043699+   2MASXJ09043699+5536025     136.1539208   55.60075       0.03712          163.56    0       42.8               0.577        41.90         4          
  091129+452805     2MASXJ09112999+4528060     137.8748625   45.46833333    0.02676          117.02    0       42.47              0.774        40.68         1          
  NGC2768           NGC2768                    137.90625     60.03741667    0.00451          19.4      0       40.53              0.536        38.79         2          
  NGC2782           NGC2782                    138.5213017   40.11361111    0.00848          36.58     2       42.75              0.87         41            2          
  HydraA            HydraA                     139.5236208   -12.09552778   0.05488          244.74    0       41.03              0.036        ---           ---        
  Mrk704            Mrk704                     139.6083542   16.30527778    0.02921          127.97    0       44.14              2.938        42.68         5          
  NGC2787           NGC2787                    139.8274833   69.20327778    0.00232          9.96      0       39.94              0.354        37.59         2          
  IC2461            IC2461                     139.9917708   37.19125       0.00753          32.46     0       42.03              0.158        39.29         1          
  MCG-01-24-012     MCG-01-24-012              140.1927083   -8.056138889   0.01963          85.39     0       43.23              0.203        40.65         4          
  NGC-2841          NGC2841                    140.510975    50.97652778    0.00213          9.14      0       39.08              0.82         38.16         2          
  MCG+04-22-042     CGCG121-075                140.9291792   22.909         0.03233          141.96    0       43.76              3.087        ---           ---        
  Mrk110            Mrk110                     141.303625    52.28625       0.03527          155.2     0       43.63              5.371        42.70         4          
  Mrk705            UGC5025                    141.5137167   12.73413889    0.02913          127.61    0       43.74              0.699        ---           ---        
  UGC5037           NGC2885                    141.8271167   23.02011111    0.0263           114.97    0       42.85              1.51         ---           ---        
  J0929+6232        CGCG312-012                142.4077417   62.54413889    0.02559          111.81    0       42.41              2.629        40.81         1          
  MCG+05-23-016     MCG+05-23-016              143.5263333   27.34980556    0.04249          187.95    0       41.2               2.0          40.22         1          
  UGC5101           UGC5101                    143.9649792   61.35316667    0.03934          173.62    3       44.19              2.325        41.65         1          
  Mrk1419           NGC2960                    145.1516042   3.576944444    0.01644          71.34     4       41.6               0.593        ---           ---        
  NGC2992           NGC2992                    146.4252083   -14.32602778   0.0077           33.19     0       42.4               0.072        41.29         3          
  NGC2993           NGC2993                    146.451375    -14.36833333   0.0081           34.93     0       42.12              0.129        ---           ---        
  MCG-05-23-016     ESO434-G040                146.9173167   -30.94888889   0.00848          36.58     0       43.42              0.515        ---           ---        
  NGC-2985          NGC2985                    147.592625    72.27858333    0.00441          18.96     0       41.33              0.168        38.11         2          
  NGC3035           NGC3035                    147.9792917   -6.823027778   0.01451          62.88     0       42.37              0.062        ---           ---        
  Mrk1239           Mrk1239                    148.0795917   -1.611444444   0.01991          86.62     0       43.97              4.11         ---           ---        
  NGC3044           NGC3044                    148.4203333   1.579722222    0.0043           18.49     0       41.56              0.912        ---           ---        
  NGC-3031          MESSIER081                 148.8882208   69.06527778    8.4E-4           3.6       0       40.28              6.498        38.72         2          
  M82               MESSIER082                 148.9696875   69.67969444    6.8E-4           2.92      3       42.47              1.48         38.93         1          
  IC2520            IC2520                     149.0838208   27.2275        0.00413          17.76     0       41.49              0.45         38.54         1          
  J0959+1301        2MASXJ09590662+1301351     149.7778042   13.02647222    0.03658          161.12    0       43.31              1.528        40.93         1          
  095914+125916     CGCG064-017                149.8115083   12.98788889    0.03433          150.96    0       42.52              0.973        41.50         1          
  NGC3081           NGC3081                    149.8730792   -22.82636111   0.00797          34.37     2       42.6               0.023        41.43         3          
  NGC3080           NGC3080                    149.9826458   13.04383333    0.0354           155.79    0       43.27              1.139        ---           ---        
  NGC3079           NGC3079                    150.4908475   55.67977778    0.00372          15.99     4       42.48              1.08         40.43         2          
  NGC-3115          NGC3115                    151.30825     -7.718611111   0.00221          9.49      0       39.9               5.163        ---           ---        
  MCG-04.24.017     ESO499-G041                151.4807083   -23.057        0.01281          55.44     0       42.59              0.026        ---           ---        
  Fair1149          ESO374-G044                153.3329583   -35.98266667   0.02843          124.48    0       42.97              0.018        ---           ---        
  NGC-3169          NGC3169                    153.5627092   3.466055556    0.00413          17.76     0       41.72              0.109        39.33         2          
  PG1011-040        PG1011-040                 153.5861667   -4.310833333   0.05827          260.67    0       43.74              0.16         ---           ---        
  IC2560            IC2560                     154.0779833   -33.56383333   0.00967          42.1      4       42.65              0.02         ---           ---        
  NGC-3147          NGC3147                    154.2235454   73.40077778    0.00934          40.31     0       42.17              0.171        40.24         2          
  NGC3185           NGC3185                    154.4106875   21.68830556    0.00406          17.45     0       41.09              0.121        39.54         1          
