# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  UGC2936           UGC2936                    60.7007875    1.965722222    0.01271          55.0      0       42.35            0.069        40.02         11        10.155   0.023       9.744    0.02        6.07     0.014       3.683    0.024      
  3C111             3C111                      64.588655     38.02655556    0.04847          215.33    0       43.9             7.926        ---           ---       9.897    0.023       8.996    0.021       6.628    0.016       4.472    0.029      
  2MASXJ04234080+   2MASXJ04234080+0408017     65.919875     4.133861111    0.04497          199.28    0       44.03            1.218        ---           ---       10.911   0.023       9.66     0.02        6.582    0.017       3.971    0.025      
  NGC1569           NGC1569                    67.7044125    64.84805556    -3.4E-4          3.39      0       37.11            1.071        39            2         9.45     0.028       9.095    0.026       5.004    0.017       0.956    0.016      
  MRK1506           3C120                      68.29623125   5.354361111    0.03299          144.93    0       44.06            0.178        40.45         4         9.284    0.023       8.27     0.02        5.349    0.014       2.883    0.02       
  NGC1614           NGC1614                    68.49939167   -8.578861111   0.01593          69.1      0       43.4             1.059        42.38         5         9.157    0.023       8.578    0.02        3.607    0.015       0.375    0.019      
  MRK618            MRK618                     69.092675     -10.37605556   0.03553          156.37    0       44.35            0.068        ---           ---       9.543    0.023       8.397    0.021       5.102    0.015       2.711    0.021      
  MCG-02-12-050     MCG-02-12-050              69.559125     -10.79588889   0.03633          159.99    0       43.49            0.213        ---           ---       10.637   0.022       9.872    0.021       6.993    0.016       4.715    0.027      
  UGC3142           UGC3142                    70.94495833   28.97180556    0.02164          94.27     0       43.1             0.239        ---           ---       10.511   0.022       9.709    0.021       6.726    0.014       4.29     0.026      
  J0444+2813        WISEPJ044409.01+281300.7   71.03754167   28.21675       0.01126          48.67     0       42.37            0.055        ---           ---       9.906    0.023       9.429    0.02        6.474    0.016       4.407    0.029      
  UGC3157           UGC3157                    71.623625     18.46091667    0.0154           66.78     2       43.0             0.047        ---           ---       10.178   0.022       9.464    0.021       6.02     0.015       3.089    0.018      
  NGC-1667          NGC1667                    72.15475417   -6.319972222   0.01516          65.72     0       42.55            1.678        41.27         2         10.01    0.023       9.809    0.021       6.055    0.01        3.571    0.018      
  MCG-01-13-025     MCG-01-13-025              72.92283333   -3.809333333   0.01588          68.88     0       42.53            3.356        40.95         4         10.034   0.022       9.471    0.024       7.423    0.019       5.429    0.035      
  1RXSJ045205.0+4   2MASXJ04520479+4932446     73.02083333   49.54602778    0.02898          126.94    0       43.48            0.325        ---           ---       10.419   0.022       9.465    0.021       6.405    0.015       4.116    0.018      
  J0452-0312        2MASXJ04524451-0312571     73.18529167   -3.215833333   0.01568          68.0      0       42.75            0.008        ---           ---       11.235   0.023       10.342   0.02        6.026    0.015       3.37     0.02       
  CGCG420-015       CGCG420-015                73.35729167   4.061694444    0.02937          128.68    0       44.13            0.636        ---           ---       9.619    0.022       8.363    0.021       5.243    0.014       2.925    0.018      
  NGC1692           NGC1692                    73.84885417   -20.57111111   0.03534          155.52    0       40.22            0.216        ---           ---       11.202   0.023       11.258   0.022       10.623   0.076       9.186    0.458      
  MS04595+0327      2MASXJ05020903+0331499     75.53770833   3.530527778    0.01598          69.32     0       42.1             0.085        ---           ---       11.453   0.024       11.066   0.021       8.572    0.026       6.142    0.055      
  2MASXJ05025822+   WISEPJ050258.22+225951.8   75.74258333   22.99772222    0.05766          257.83    0       44.8             0.634        ---           ---       9.432    0.023       8.31     0.018       5.15     0.014       2.569    0.018      
  050545-235114     2MASXJ05054575-2351139     76.44054167   -23.85388889   0.03502          154.07    0       43.54            0.244        ---           ---       11.66    0.023       10.37    0.02        6.942    0.015       4.567    0.026      
  NGC-1819          NGC1819                    77.94225      5.200611111    0.0149           64.58     0       42.4             0.014        ---           ---       9.767    0.022       9.496    0.019       5.337    0.016       2.811    0.022      
  5151978           2MASXJ05151978+1854515     78.832375     18.91444444    0.02347          102.38    0       42.04            0.024        43.47         7         10.767   0.023       10.546   0.021       7.596    0.018       4.726    0.028      
  AKN120            ARK120                     79.0475875    -0.14975       0.03269          143.58    0       43.9             18.417       39.95         4         8.627    0.023       7.74     0.019       5.369    0.014       3.483    0.021      
  MCG-02-14-009     MCG-02-14-009              79.08824167   -10.56141667   0.02843          124.48    0       43.54            0.169        ---           ---       10.406   0.027       9.445    0.02        6.401    0.016       4.213    0.028      
  VIIZw031          VIIZw031                   79.19206667   79.67030556    0.05363          239.13    0       43.5             0.009        ---           ---       10.843   0.03        10.342   0.028       5.728    0.019       3.322    0.031      
  ESO362-G018       ESO362-G018                79.89915833   -32.65777778   0.01244          53.82     0       42.99            0.04         39.47         4         9.87     0.023       9.184    0.02        5.669    0.014       3.113    0.022      
  052627-211712     ESO553-G043                81.61355      -21.28666667   0.02774          121.39    0       43.11            0.175        ---           ---       11.257   0.022       10.547   0.021       7.438    0.016       4.619    0.029      
  NGC-1961          NGC1961                    85.51936542   69.37863889    0.01311          56.75     0       41.86            0.023        40.02         2         9.752    0.023       9.618    0.02        6.724    0.018       4.993    0.039      
  NGC2110           NGC2110                    88.04742083   -7.456444444   0.00778          33.54     0       43.11            0.472        41.63         4         8.236    0.022       7.455    0.021       4.83     0.015       2.556    0.018      
  MCG+08-11-011     UGC3374                    88.72338333   46.43927778    0.02047          89.1      0       44.19            2.001        ---           ---       8.356    0.023       7.336    0.021       4.39     0.014       1.756    0.013      
