# name_mcp          name_NED                   ra_mcp        dec_mcp        redshift_maser   Lum_dis   maser   L_12um_bestfit   chi2_maser   logL_OIII_C   ref_num   w1mpro   w1sigmpro   w2mpro   w2sigmpro   w3mpro   w3sigmpro   w4mpro   w4sigmpro  
  Mrk477            Mrk477                     220.1587375   53.50433333    0.0377           166.19    0       43.69            0.528        43.61         3         11.287   0.022       10.084   0.02        6.124    0.015       3.121    0.018      
  Mrk478            Mrk478                     220.5310958   35.43977778    0.079            358.54    0       44.5             0.204        ---           ---       9.857    0.023       8.981    0.02        6.477    0.016       4.088    0.022      
  NGC5728           NGC5728                    220.5995708   -17.253        0.00935          40.36     4       42.36            0.044        42.16         3         9.356    0.022       9.026    0.019       5.352    0.014       2.736    0.02       
  NGC-5746          NGC5746                    221.2329917   1.954694444    0.00575          24.75     0       40.66            1.467        38.93         2         8.852    0.023       8.8      0.02        7.383    0.018       5.751    0.044      
  CGCG164-019       CGCG164-019                221.4035042   27.03472222    0.02988          130.97    2       43.43            0.004        41.88         1         11.134   0.022       10.192   0.02        6.582    0.015       3.906    0.023      
  3C305             IC1065                     222.3398875   63.2705        0.04161          183.94    0       42.93            1.79         41.99         1         11.036   0.022       10.801   0.02        8.077    0.019       5.655    0.032      
  PG1448+273        PG1448+273                 222.7865125   27.15747222    0.06496          291.97    0       43.83            1.089        ---           ---       11.093   0.023       10.144   0.02        7.121    0.016       4.638    0.025      
  NGC5793           NGC5793                    224.8531667   -16.69330556   0.01164          50.33     4       42.1             0.066        ---           ---       9.598    0.022       9.352    0.02        5.83     0.015       3.242    0.021      
  Mrk841            Mrk841                     226.0050042   10.43783333    0.0364           160.31    0       44.07            0.109        41.47         4         10.187   0.023       9.162    0.019       5.738    0.014       3.188    0.02       
  MRK1392           MRK1392                    226.4856375   3.707166667    0.03611          158.99    0       43.8             1.219        ---           ---       10.525   0.022       9.752    0.02        6.602    0.016       4.035    0.023      
  NGC-5850          NGC5850                    226.782025    1.544138889    0.00852          36.75     0       39.32            1.243        38.25         1         9.697    0.022       9.732    0.02        8.31     0.023       6.894    0.069      
  IRAS15091-2107    2MASXJ15115979-2119015     227.999175    -21.31719444   0.04458          197.5     0       44.14            0.059        43.29         5         9.692    0.024       8.777    0.021       5.87     0.015       3.201    0.028      
  NGC5899           NGC5899                    228.7634333   42.04955556    0.00854          36.84     0       41.92            2.173        40.93         5         9.93     0.022       9.652    0.02        6.602    0.014       4.02     0.023      
  CGCG021-063       CGCG021-063                229.1675792   0.250611111    0.05245          233.67    0       43.55            0.827        41.02         1         11.313   0.023       10.668   0.021       7.945    0.02        5.593    0.036      
  NGC-5908          NGC5908                    229.1800833   55.40925       0.01102          47.63     0       42.43            0.673        ---           ---       9.396    0.023       9.162    0.019       6.181    0.014       4.158    0.021      
  3C317             UGC9799                    229.1853708   7.021388889    0.03446          151.41    0       40.65            0.217        ---           ---       11.376   0.023       11.423   0.022       10.378   0.066       8.197    0.193      
  VV705NED01        VV705NED01                 229.5256208   42.74577778    0.04029          177.94    0       43.47            0.637        41.65         1         11.056   0.022       10.357   0.02        5.594    0.014       2.203    0.017      
  CGCG319-007       CGCG319-007                229.8903583   65.59969444    0.04397          194.71    0       43.75            0.975        ---           ---       10.905   0.022       10.056   0.02        6.959    0.016       4.527    0.023      
  NGC5940           NGC5940                    232.8252917   7.457777778    0.03391          149.07    0       43.49            1.307        ---           ---       10.929   0.022       10.238   0.019       7.006    0.015       4.872    0.028      
  NGC5953           NGC5953                    233.6349292   15.19391667    0.00655          28.21     0       42.23            0.864        41            5         9.31     0.023       9.057    0.02        4.812    0.015       2.584    0.013      
  F15327+2340       ARP220                     233.7385625   23.50302778    0.01811          78.69     0       43.1             0.607        41.27         1         10.079   0.022       9.327    0.019       4.588    0.015       0.642    0.008      
  UGC9944           UGC9944                    233.9494333   73.45052778    0.02451          107.0     0       43.68            0.038        42.20         5         10.68    0.022       9.367    0.02        5.554    0.014       3.046    0.02       
  Mrk290            Mrk290                     233.9681708   57.9025        0.02956          129.53    0       43.64            2.92         41.72         4         10.434   0.023       9.505    0.019       6.568    0.015       4.114    0.021      
  NGC-5985          NGC5985                    234.9045417   59.33197222    0.00839          36.19     0       39.77            1.913        39.06         2         10.813   0.022       10.901   0.021       10.0     0.056       8.129    0.189      
  1546242+6929102   2MASXJ15462424+6929102     236.6013792   69.48619444    0.03736          164.65    0       42.45            0.037        ---           ---       11.666   0.022       11.438   0.021       8.489    0.021       5.384    0.03       
  NGC5995           NGC5995                    237.1039792   -13.75777778   0.02518          109.98    0       44.07            0.307        42.97         3         8.568    0.022       7.696    0.018       4.791    0.012       2.481    0.014      
  1548-0344         2MASXJ15504152-0353175     237.6729292   -3.888277778   0.0303           132.76    0       43.68            0.003        42.63         5         10.536   0.022       9.548    0.019       5.742    0.015       2.881    0.023      
  KAZ49             CGCG319-034                239.264375    63.84113889    0.03008          131.86    0       42.31            0.012        ---           ---       11.611   0.022       11.29    0.02        7.185    0.015       5.07     0.031      
  SDSSJ15589+0248   2MASXJ15585579+0248338     239.7325      2.809472222    0.04646          206.1     0       42.66            2.212        ---           ---       11.801   0.023       11.446   0.022       9.145    0.033       6.995    0.107      
  MRK493            UGC10120                   239.7901208   35.02972222    0.03131          137.38    0       43.65            1.618        38.20         1         10.482   0.023       9.62     0.02        6.623    0.015       4.282    0.023      
  NGC6051           NGC6051                    241.2361167   23.93277778    0.03193          140.16    0       40.49            3.606        ---           ---       10.796   0.022       10.865   0.022       10.459   0.072       8.7      0.375      
  160534+323940     CGCG195-013                241.3943625   32.66138889    0.02964          129.89    0       41.84            0.762        40.22         1         13.126   0.024       12.944   0.027       9.158    0.026       6.466    0.046      
  161605-224700     ESO516-G010                244.022375    -22.78333333   0.0259           113.19    0       41.18            0.077        ---           ---       10.816   0.021       10.782   0.02        7.472    0.018       5.496    0.039      
  B21615+32         3C332                      244.4271833   32.37619444    0.15091          717.69    0       44.44            8.144        ---           ---       11.397   0.023       10.511   0.021       8.122    0.02        5.974    0.046      
  2E1615+0611       2MASXJ16174561+0603530     244.44015     6.064888889    0.03784          166.82    0       43.0             0.545        ---           ---       11.549   0.023       10.817   0.02        8.141    0.022       5.875    0.037      
  KUG1618+410       KUG1618+410                244.9638042   40.97975       0.03787          166.96    0       42.59            0.677        ---           ---       11.962   0.023       11.487   0.021       8.808    0.023       6.475    0.05       
  KUG1624+351       KUG1624+351                246.6516667   35.04505556    0.03417          150.24    0       42.06            1.011        39.79         1         13.068   0.025       12.832   0.025       9.27     0.03        7.238    0.085      
  3C338             NGC6166`                   247.1603333   39.55169444    0.03035          132.98    0       40.88            0.214        38.77         1         10.895   0.024       10.89    0.022       10.181   0.066       8.351    0.292      
  MARK885           MARK885                    247.4510542   67.37830556    0.02531          110.56    0       42.48            0.017        ---           ---       11.116   0.023       10.841   0.02        8.003    0.018       5.605    0.032      
  Mrk883            VV807                      247.4703625   24.44388889    0.03747          165.15    0       43.0             0.767        ---           ---       11.331   0.066       11.115   0.021       7.431    0.018       4.147    0.027      
  IRAS16288+3929    WISEJ163032.66+392303.2    247.636075    39.38408333    0.03054          133.92    2       43.0             0.885        41.36         1         11.426   0.022       10.79    0.02        7.473    0.017       4.187    0.024      
  SDSSJ16319+2437   SDSSJ163159.58+243740.2    247.9982958   24.62788889    0.04344          192.29    0       42.7             0.038        ---           ---       13.177   0.218       12.487   0.024       9.517    0.037       7.229    0.115      
  NGC6251           NGC6251                    248.1332079   82.53786111    0.02469          107.8     0       42.58            0.095        ---           ---       9.936    0.022       9.788    0.02        7.734    0.017       5.561    0.033      
  NGC6217           NGC6217                    248.1633333   78.19802778    0.00454          19.52     0       41.76            0.639        39.38         2         9.848    0.021       9.529    0.019       5.209    0.014       2.143    0.016      
  IGRJ16385-2057    2MASXJ16383091-2055246     249.6288333   -20.92355556   0.02635          115.19    0       43.88            0.131        ---           ---       9.975    0.023       8.914    0.021       5.559    0.015       3.041    0.021      
  2MASXJ16392368+   2MASXJ16392368+4338438     249.8487708   43.64541667    0.06122          274.44    0       41.62            0.839        39.84         1         12.786   0.024       12.72    0.024       9.901    0.046       8.138    0.183      
  NGC-6232          NGC6232                    250.8343333   70.63255556    0.01479          64.1      0       40.97            0.025        ---           ---       10.967   0.021       10.865   0.021       8.236    0.019       5.339    0.027      
  1SAXJ16506+043    NGC6230NED01               252.67805     4.604972222    0.03204          140.66    0       43.19            3.308        ---           ---       10.452   0.023       9.681    0.019       7.714    0.02        5.321    0.034      
  UGC10593          UGC10593                   253.0785833   55.9055        0.02913          127.61    0       43.18            0.197        ---           ---       10.751   0.023       9.959    0.02        7.202    0.015       4.755    0.022      
  NGC6240           NGC6240                    253.2452958   2.400916667    0.02446          106.78    2       43.78            0.162        42.25         8         9.347    0.022       8.605    0.02        4.533    0.015       1.278    0.02       
  Mrk501            Mrk501                     253.4675696   39.76016667    0.03364          147.85    0       42.57            1.199        ---           ---       9.824    0.022       9.341    0.019       7.371    0.017       5.367    0.031      
  NGC6264           NGC6264                    254.3172208   27.8495        0.03392          149.11    4       42.08            1.178        41.36         1         12.156   0.023       12.048   0.022       8.575    0.024       5.438    0.032      
  NGC6269           NGC6269                    254.49205     27.85441667    0.03478          152.99    0       40.9             2.564        ---           ---       10.44    0.023       10.459   0.021       9.901    0.045       8.644    0.361      
  NPM1G+52.0273     2MASXJ17002716+5159114     255.1132542   51.98638889    0.04797          213.03    0       42.35            0.106        ---           ---       12.468   0.122       12.37    0.023       9.288    0.028       7.348    0.086      
  NGC-6278          NGC6278                    255.2096958   23.01111111    0.00944          40.75     0       40.6             2.545        ---           ---       9.768    0.022       9.822    0.02        9.081    0.033       7.465    0.123      
  B31702+457        B31702+457                 255.8765958   45.68002778    0.06036          270.42    0       44.51            0.843        ---           ---       10.168   0.023       9.169    0.021       6.008    0.015       3.416    0.019      
  SDSSJ17153+5739   MCG+10-24-118              258.8274125   57.65877778    0.02805          122.78    0       41.93            1.545        40.61         1         11.835   0.242       11.943   0.021       9.865    0.038       7.524    0.108      
  NGC6300           NGC6300                    259.2477917   -62.82055556   0.0037           15.9      1       42.47            0.072        40.99         3         9.022    0.023       7.952    0.021       4.579    0.015       1.689    0.017      
  UGC10814NOTES01   UGC10814NOTES01            259.8103854   48.98027778    0.02415          105.4     0       42.89            0.017        ---           ---       10.976   0.022       10.356   0.02        7.507    0.018       5.078    0.026      
  3C353             3C353                      260.117325    -0.979666667   0.0304           133.3     0       42.57            2.603        ---           ---       11.31    0.022       11.094   0.021       8.911    0.029       6.432    0.07       
  MRK506            MRK506                     260.6662458   30.88138889    0.043            190.28    0       43.61            2.444        ---           ---       10.528   0.023       9.866    0.02        7.497    0.016       5.015    0.03       
  IRAS17208-0014    2MASXJ17232194-0017009     260.8414792   -0.283611111   0.04278          189.28    0       43.63            1.33         41.38         6         10.856   0.027       10.128   0.025       5.772    0.016       2.491    0.028      
  2MASXJ17232321+   2MASXJ17232321+3630097     260.8466958   36.50283333    0.03997          176.48    0       43.88            3.27         ---           ---       10.192   0.023       9.249    0.02        6.491    0.015       4.331    0.027      
  Zw300.062         CGCG300-062                265.822475    62.83933333    0.03298          144.88    0       42.97            1.115        ---           ---       11.878   0.023       11.157   0.02        8.295    0.018       5.864    0.035      
  Kaz163            VIIZw742                   266.7493333   68.60777778    0.063            282.58    0       43.97            0.922        ---           ---       10.754   0.023       9.862    0.02        7.151    0.015       4.657    0.025      
  Mrk507            Mrk507                     267.1598667   68.70438889    0.05586          249.47    0       43.53            0.02         41.20         9         11.243   0.022       10.578   0.02        7.429    0.016       5.07     0.024      
  NGC6552           NGC6552                    270.0301375   66.61508333    0.02647          115.73    0       43.41            0.01         42.40         3         10.858   0.023       9.988    0.019       5.871    0.014       2.604    0.017      
  NGC-6661          NGC6660                    278.6527917   22.90972222    0.01412          61.17     0       40.73            1.72         ---           ---       9.571    0.022       9.58     0.019       8.949    0.027       7.379    0.098      
  3C382             CGCG173-014                278.764125    32.69630556    0.05783          258.62    0       44.21            2.243        ---           ---       9.414    0.022       8.475    0.02        6.216    0.016       4.516    0.025      
  ESO103-G35        ESO103-G35                 279.58475     -65.42755556   0.01328          57.49     3       43.68            0.103        41.65         8         9.691    0.023       8.121    0.02        4.367    0.014       1.518    0.02       
  3C386             CGCG114-025                279.6093958   17.19725       0.01689          73.23     0       40.32            0.945        ---           ---       10.407   0.022       10.446   0.02        9.958    0.044       8.53     0.272      
  3C390.3           3C390.3                    280.5374579   79.77144444    0.05606          250.4     0       44.18            5.454        42.93         4         9.64     0.023       8.603    0.02        5.996    0.015       3.756    0.021      
  NGC-6701          NGC6701                    280.8019167   60.65338889    0.01329          57.23     0       42.37            0.042        40.93         6         9.775    0.023       9.49     0.02        5.288    0.015       2.45     0.017      
  CGCG341-006       CGCG341-006                281.3593167   72.18377778    0.04627          205.23    0       43.67            0.034        ---           ---       11.281   0.023       10.475   0.02        6.79     0.016       4.015    0.022      
  NGC-6703          NGC6703                    281.8284583   45.55063889    0.00791          34.11     0       40.13            0.853        37.59         2         9.228    0.022       9.24     0.019       8.699    0.023       7.203    0.078      
  UGC-11397         UGC11397                   285.9547917   33.84472222    0.01508          65.37     0       42.64            0.048        41.65         7         10.559   0.023       9.891    0.02        6.938    0.016       4.602    0.026      
  CGCG229-015       KIC006932990               286.3580792   42.46111111    0.02786          121.93    0       42.8             0.036        ---           ---       11.577   0.023       10.88    0.02        7.722    0.018       5.068    0.03       
  NGC-6764          NGC6764                    287.0682083   50.93325       0.00805          34.71     0       41.93            0.038        40.52         9         10.493   0.023       10.146   0.02        5.441    0.015       2.33     0.019      
  2MASXJ19271951+   2MASXJ19271951+6533539     291.8314167   65.565         0.01699          73.76     0       40.55            0.051        ---           ---       13.243   0.026       13.168   0.026       11.301   0.093       9.206    0.351      
  2MASXJ19373299-   2MASXJ19373299-0613046     294.3875417   -6.217916667   0.01025          44.27     0       43.02            0.179        ---           ---       9.108    0.023       8.279    0.02        4.83     0.015       2.393    0.018      
  NGC-6814          NGC6814                    295.66935     -10.32347222   0.00521          22.42     0       42.09            0.019        38.77         4         9.353    0.023       8.807    0.02        6.088    0.015       3.635    0.02       
  2MASXJ19471938+   2MASXJ19471938+4449425     296.83065     44.82838889    0.05386          240.19    0       43.94            0.476        ---           ---       11.708   0.023       10.31    0.02        6.739    0.015       4.394    0.027      
  3C403             3C403                      298.0658708   2.506694444    0.05896          263.89    3       44.21            0.017        ---           ---       11.198   0.034       10.053   0.022       6.467    0.015       3.957    0.029      
  CygA              CygnusA                    299.8681525   40.73397222    0.05604          250.3     0       43.93            0.069        ---           ---       11.294   0.021       10.361   0.02        5.933    0.014       2.726    0.013      
  1ES1959+650       WISEJ195959.83+650854.7    299.9993838   65.14855556    0.04697          208.44    0       43.25            1.225        ---           ---       10.816   0.023       10.175   0.02        8.253    0.019       6.291    0.033      
  NGC-6869          NGC6869                    300.1767083   66.22755556    0.00913          39.4      0       39.94            0.894        ---           ---       9.851    0.022       9.882    0.019       9.305    0.024       7.952    0.11       
  2MASXJ20005575-   2MASXJ20005575-1810274     300.2321458   -18.17416667   0.03709          163.43    0       44.34            0.758        ---           ---       9.284    0.023       8.116    0.02        5.163    0.016       2.904    0.018      
  2MASXJ20075129-   2MASXJ20075129-1108346     301.9637708   -11.14277778   0.03098          135.9     0       42.9             0.063        ---           ---       11.138   0.023       10.672   0.021       7.005    0.018       4.542    0.032      
  2010174+4800210   2MASXJ20101740+4800214     302.5725      48.00588889    0.02561          111.9     0       41.21            0.015        ---           ---       11.672   0.022       11.362   0.023       8.231    0.027       5.785    0.038      
  IGRJ20187+4041    2MASXJ20183871+4041003     304.6613333   40.68338889    0.01439          62.35     0       43.0             1.832        ---           ---       10.099   0.023       9.289    0.021       6.325    0.017       4.228    0.047      
  IGRJ20216+4359    2MASXJ20214907+4400399     305.454375    44.011         0.01699          73.76     0       41.24            0.068        ---           ---       11.274   0.023       10.942   0.02        8.078    0.022       5.569    0.037      
  2MASXJ20232535+   2MASXJ20232535+1131352     305.8557667   11.52633333    0.05635          251.74    0       44.37            0.342        ---           ---       11.19    0.023       9.462    0.02        5.098    0.017       2.095    0.016      
  MCG+04-48-002     MCG+04-48-002              307.1460833   25.73330556    0.01389          60.16     0       43.05            0.013        ---           ---       9.733    0.022       9.048    0.02        4.907    0.015       2.686    0.021      
  NGC6926           NGC6926                    308.2754583   -2.0275        0.0196           85.26     4       42.59            0.027        41.88         6         10.932   0.024       10.524   0.021       6.541    0.015       4.09     0.023      
  NGC6951           NGC6951                    309.3087083   66.10547222    0.00475          20.43     0       41.68            0.081        40.72         2         8.98     0.023       8.783    0.019       5.17     0.014       2.454    0.017      
  MRK509            MRK509                     311.040575    -10.72352778   0.03437          151.14    0       44.27            0.305        40.77         4         8.744    0.023       7.854    0.02        5.183    0.013       2.793    0.022      
  Mrk896            Mrk896                     311.5869542   -2.812472222   0.02641          115.46    0       43.28            0.042        ---           ---       10.252   0.022       9.596    0.02        6.848    0.015       4.662    0.035      
  IRAS20550+1656    IIZw096                    314.3495833   17.12747222    0.0361           158.81    3       43.49            0.109        40.93         6         11.385   0.023       10.388   0.02        5.348    0.014       1.693    0.013      
  CGCG425-034       CGCG425-034                315.5901667   10.97111111    0.02888          126.49    0       42.74            0.667        ---           ---       11.076   0.022       10.637   0.02        6.944    0.016       4.443    0.026      
  MCG-05.49.012     ESO464-G016                315.5990083   -28.17458333   0.03633          159.99    0       42.89            0.005        ---           ---       11.867   0.023       11.326   0.021       8.072    0.023       5.497    0.041      
  IIZw101           UGC11680NED01              316.92285     3.87225        0.02597          113.5     0       43.36            1.721        41.00         6         10.465   0.023       9.704    0.02        6.501    0.015       3.989    0.027      
  1H2107-097        2MASXJ21090996-0940147     317.2915417   -9.670861111   0.0265           115.86    0       43.6             2.518        ---           ---       9.789    0.022       8.784    0.02        5.905    0.015       3.686    0.021      
  2MASXJ21234458+   2MASXJ21234458+2504272     320.9357167   25.07438889    0.10193          469.8     0       44.41            3.723        ---           ---       10.62    0.022       9.503    0.02        6.899    0.015       4.412    0.023      
  J21354-2720       IRASF21318-2739            323.6874958   -27.43222222   0.06705          299.68    0       43.5             0.792        ---           ---       11.572   0.023       10.657   0.02        7.141    0.016       4.492    0.025      
  CGCG493-002       CGCG493-002                324.639325    32.08491667    0.02478          108.2     0       43.53            0.076        ---           ---       10.269   0.023       9.443    0.02        6.266    0.015       3.852    0.023      
  NGC7130           NGC7130                    327.0813333   -34.95122222   0.01614          70.02     0       43.24            0.023        42.54         3         9.794    0.022       9.063    0.019       4.759    0.014       1.609    0.013      
  J215650-074533    2MASXJ21564950-0745325     329.2063042   -7.759083333   0.05506          245.57    0       43.43            0.933        41.40         1         13.015   0.031       11.626   0.026       7.752    0.024       4.767    0.045      
  PGC067698         2MASXJ21565663-1139314     329.2358542   -11.65852778   0.02807          122.87    0       42.67            0.016        ---           ---       11.5     0.022       10.987   0.021       7.693    0.02        5.194    0.035      
  NGC7172           NGC7172                    330.5078792   -31.86980556   0.00868          37.45     0       43.08            0.764        39.83         3         8.469    0.023       7.631    0.02        5.193    0.014       3.067    0.019      
  2MASXJ22041914+   2MASXJ22041914+0333511     331.079875    3.563861111    0.06106          273.69    0       44.64            1.48         42.59         5         10.191   0.023       8.946    0.02        5.496    0.015       2.813    0.022      
  NGC7214           NGC7214                    332.282       -27.80941667   0.02311          100.79    0       43.3             0.036        ---           ---       9.901    0.023       9.252    0.019       6.292    0.014       3.73     0.026      
  IC5169            IC5169                     332.5415833   -36.08861111   0.01037          44.8      0       42.49            0.015        ---           ---       10.182   0.021       9.628    0.02        5.843    0.014       3.359    0.018      
  NGC-7252          NGC7252                    335.1864583   -24.67833333   0.01597          69.28     0       42.48            0.069        ---           ---       9.805    0.023       9.612    0.02        5.594    0.015       3.452    0.025      
  MCG+02-57-002     MCG+02-57-002              335.937575    11.83591667    0.02898          126.94    0       43.21            0.561        ---           ---       11.175   0.023       10.531   0.02        7.208    0.018       4.644    0.031      
  3C445             3C445                      335.956375    -2.103333333   0.05584          249.37    0       44.34            3.167        43.47         5         9.77     0.023       8.618    0.02        5.83     0.015       3.741    0.025      
  UGC12040          UGC12040                   336.7740833   36.36169444    0.02131          92.81     0       42.52            1.9          ---           ---       10.569   0.021       10.401   0.019       8.001    0.021       5.659    0.047      
  NGC-7284          NGC7284                    337.1497083   -24.84413889   0.0156           67.65     0       40.41            0.273        40.36         6         10.099   0.022       10.152   0.02        9.426    0.047       8.256    0.387      
  UGC12064          UGC12064                   337.83575     39.35836111    0.01712          74.33     0       39.75            0.142        ---           ---       10.408   0.023       10.458   0.02        9.066    0.028       7.45     0.131      
  223449-254037     ESO533-G050                338.707625    -25.67697222   0.02643          115.55    0       42.2             0.081        ---           ---       11.004   0.023       10.825   0.021       8.762    0.029       6.491    0.066      
  NGC-7314          NGC7314                    338.9424625   -26.05027778   0.00474          20.47     0       41.98            0.261        41.95         3         9.917    0.022       9.217    0.019       6.127    0.016       3.514    0.029      
  NGC7319           NGC7319                    339.0147708   33.97575       0.02249          98.04     0       42.95            4.146        39.84         4         10.656   0.022       9.79     0.021       6.533    0.016       4.047    0.024      
  MRK915            MRK915                     339.1937667   -12.54513889   0.02409          105.14    0       43.03            0.006        43            9         10.426   0.023       9.78     0.02        6.573    0.017       3.887    0.024      
  223656-221315     ESO602-G031                339.2330833   -22.22083333   0.03299          144.93    0       43.36            0.062        ---           ---       10.605   0.023       9.924    0.022       7.084    0.016       4.733    0.03       
  NGC7331           NGC7331                    339.266725    34.41566667    0.00272          11.68     0       41.36            3.544        38.59         2         7.377    0.027       7.909    0.02        6.123    0.014       3.612    0.025      
  UGC12138          UGC12138                   340.0710333   8.053888889    0.02496          109.0     0       43.53            1.275        42.13         5         10.135   0.023       9.446    0.019       6.414    0.015       3.785    0.019      
  UGC12163          UGC12163                   340.6639375   29.72530556    0.02468          107.71    0       43.54            1.028        ---           ---       9.799    0.022       8.778    0.02        5.783    0.013       3.212    0.018      
  3C452             3C452                      341.4532083   39.68775       0.08104          368.31    0       44.02            0.025        42.08         4         11.924   0.024       11.011   0.02        7.707    0.017       5.186    0.03       
  224937-191626     MCG-03-58-007              342.4047917   -19.27388889   0.03144          137.96    0       44.26            1.307        41.77         5         9.353    0.023       8.315    0.02        5.187    0.015       2.502    0.016      
  IRASF22514-1750   MR2251-178                 343.5241667   -17.58197222   0.06394          287.18    0       44.33            0.409        42.86         4         9.909    0.022       9.002    0.021       6.504    0.016       4.369    0.027      
  UGC12237          UGC12237                   343.5819583   11.78247222    0.02825          123.67    0       42.8             2.792        ---           ---       11.499   0.022       10.839   0.02        7.576    0.019       4.585    0.031      
  UGC12243          UGC12243                   343.68125     11.71413889    0.02829          123.85    0       42.47            0.311        ---           ---       11.055   0.021       10.896   0.02        7.853    0.019       5.672    0.042      
  IC1459            IC1459                     344.294195    -36.46225      0.00601          25.88     0       39.86            0.527        ---           ---       8.195    0.022       8.215    0.02        7.368    0.016       5.656    0.039      
  IRASF22548-3712   2MASXJ22573900-3656063     344.4127042   -36.93527778   0.03897          171.94    0       43.93            0.016        ---           ---       10.704   0.023       9.625    0.019       6.268    0.016       3.847    0.027      
  UGC12282          UGC12282                   344.73115     40.93136111    0.01698          73.71     0       42.29            0.075        40.08         11        9.952    0.023       9.786    0.02        7.095    0.016       4.696    0.028      
  Kaz320            Kaz320                     344.8870833   24.91830556    0.03448          151.64    0       43.43            2.449        ---           ---       10.702   0.023       9.729    0.019       6.707    0.016       4.288    0.029      
  NGC7465           NGC7465                    345.5040333   15.96475       0.00653          28.13     0       42.13            0.513        40.66         6         9.63     0.021       9.35     0.02        5.885    0.015       3.575    0.022      
  NGC-7469          NGC7469                    345.8150958   8.874          0.01631          70.77     0       43.81            0.199        43.11         4         8.429    0.023       7.64     0.02        3.731    0.013       0.713    0.023      
  XBSJ23040+0315    2MASXJ23040125+0315191     346.0052333   3.255361111    0.0358           157.59    0       42.24            2.51         ---           ---       11.483   0.023       11.427   0.021       9.552    0.042       7.782    0.228      
  Mrk926            Mrk926                     346.1811583   -8.685694444   0.04683          207.8     0       44.24            8.935        42.34         4         9.124    0.023       8.253    0.02        6.036    0.016       3.789    0.025      
  NGC7479           NGC7479                    346.2360417   12.32286111    0.00794          34.24     2       42.96            1.23         40.72         2         9.734    0.023       8.392    0.019       4.498    0.014       1.37     0.019      
  UGC12348          UGC12348                   346.3285042   0.189444444    0.02544          111.14    0       43.62            1.519        ---           ---       10.043   0.023       9.196    0.021       6.306    0.015       3.718    0.022      
  NGC-7541          NGC7541                    348.682875    4.534444444    0.00896          38.66     0       42.03            0.571        ---           ---       9.728    0.023       9.408    0.02        5.141    0.014       2.477    0.019      
  IC5298            IC5298                     349.0029167   25.55669444    0.0274           119.88    0       43.69            1.638        42.47         3         10.48    0.022       9.209    0.02        5.349    0.014       2.063    0.022      
  NGC7566           NGC7566                    349.1559583   -2.330666667   0.02653          116.0     0       41.06            1.316        ---           ---       11.126   0.022       11.136   0.02        8.721    0.031       5.615    0.041      
  NGC7589           NGC7589                    349.5652833   0.261138889    0.02979          130.56    0       42.58            0.686        40.40         1         11.636   0.022       11.375   0.023       8.575    0.025       6.643    0.09       
  NGC7582           NGC7582                    349.5979167   -42.37055556   0.00525          22.59     0       43.1             0.424        41.34         3         7.572    0.026       6.638    0.021       3.459    0.014       0.485    0.012      
  NGC7603           NGC7603                    349.7359042   0.243944444    0.0295           129.26    0       43.53            19.112       ---           ---       8.242    0.022       7.341    0.02        4.963    0.015       3.356    0.02       
  NGC7626           NGC7626                    350.177275    8.217194444    0.01135          49.07     0       40.31            1.066        38.66         2         12.277   0.024       12.078   0.023       8.214    0.022       6.243    0.053      
  LCRSB232242.2-3   LCRSB232242.2-384320       351.3508333   -38.447        0.03588          157.96    0       43.02            0.009        ---           ---       10.926   0.023       10.506   0.019       7.201    0.016       5.305    0.041      
  RXJ23273+1524     2MASXJ23272195+1524375     351.8415246   15.41030556    0.04569          202.57    0       43.53            1.222        ---           ---       10.972   0.022       10.358   0.021       7.648    0.018       5.185    0.035      
  NGC7674           NGC7674                    351.98635     8.779027778    0.0289           126.58    0       44.31            0.963        42.56         3         9.272    0.021       8.112    0.019       4.63     0.013       1.895    0.021      
  NGC7679           NGC7679                    352.1945958   3.511388889    0.01713          74.37     0       43.08            1.152        41.95         6         9.859    0.022       9.48     0.019       4.927    0.015       2.441    0.018      
  NGC7682           NGC7682                    352.2663667   3.533361111    0.01713          74.37     0       41.42            1.792        41.75         3         11.017   0.022       10.972   0.021       8.313    0.023       5.162    0.033      
  2330377+7122464   2MASXJ23303771+7122464     352.6570417   71.37955556    0.03695          162.79    0       42.74            0.014        40.79         10        11.494   0.023       11.132   0.021       7.977    0.021       5.658    0.037      
  PKS2331-240       PKS2331-240                353.4801575   -23.72802778   0.04767          211.65    0       43.6             1.273        ---           ---       11.027   0.022       10.168   0.02        7.547    0.017       5.314    0.035      
  NGC-7714          NGC7714                    354.0587417   2.155166667    0.00933          40.27     0       42.25            0.086        ---           ---       9.98     0.023       9.597    0.019       4.774    0.015       1.51     0.02       
  NGC-7727          NGC7727                    354.9738458   -12.293        0.00623          26.83     0       40.62            0.398        38.50         6         8.902    0.022       8.93     0.02        7.872    0.019       6.518    0.084      
  UGC12741          UGC12741                   355.4810833   30.58177778    0.01743          75.69     0       42.16            0.324        ---           ---       10.961   0.023       10.799   0.021       7.828    0.02        5.519    0.035      
  NGC-7743          NGC7743                    356.0880833   9.934166667    0.0057           24.54     0       40.42            2.189        40.20         12        9.798    0.021       9.75     0.02        7.788    0.019       5.106    0.033      
  NGC-7769          NGC7769                    357.7665417   20.15036111    0.01404          60.82     0       42.55            1.314        ---           ---       10.072   0.023       9.985    0.02        6.367    0.014       3.467    0.019      
