count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
4802,144012+024743,220.053,2.79542,8944,2006-11-18,43.8,20,2.8,7521,10380,2.7,10092,13000
4803,144022+092834,220.095,9.47614,8478,2007-04-11,48.7,10,4.3,7059,9910,4.2,9623,12521
4804,Mrk477,220.159,53.5043,11310,2013-03-20,33.3,5,4.6,9865,12768,?,?,?
4805,Mrk477,220.159,53.5044,11310,2003-10-31,49.0,44,2.1,9865,12768,?,?,?
4806,144054+260128,220.225,26.0243,9639,2008-02-12,48.6,20,3.2,8209,11082,2.9,10792,13713
4807,UGC-9476,220.385,44.5136,3250,2008-05-29,43.8,10,4.2,1879,4634,3.6,4356,7157
4808,UGC-9473,220.387,38.8514,4695,2008-03-10,69.4,10,6.8,3311,6092,5.8,5812,8639
4809,SDSSJ14418+0305,220.453,3.08978,1600,2016-04-06,45.0,10,4.7,328,2883,?,?,?
4810,Mrk478,220.531,35.4398,23700,2011-02-09,33.1,20,2.3,22138,25277,?,?,?
4811,J1442+2808,220.545,28.1413,8202,2015-01-09,40.5,10,4.3,6786,9631,?,?,?
4812,J144217+085947,220.571,8.99658,9297,2014-01-03,40.8,10,4.2,7870,10736,?,?,?
4813,NGC5728,220.58,-17.2232,2788,2004-01-14,37.4,40,1.8,1421,4167,?,?,?
4814,NGC5728,220.599,-17.2527,2788,2005-05-27,71.0,8,11.0,1421,4167,?,?,?
4815,NGC5728,220.599,-17.2531,2788,2014-11-16,103.6,19,8.4,1421,4167,?,?,?
4816,NGC5728,220.6,-17.253,2788,2004-03-20,48.6,16,3.6,1421,4167,?,?,?
4817,NGC5728,220.6,-17.253,2788,2004-04-30,59.6,40,2.8,1421,4167,?,?,?
4818,NGC5728,220.6,-17.253,2788,2004-02-28,34.8,24,2.0,1421,4167,?,?,?
4819,NGC5728,220.6,-17.2531,2788,2010-11-12,43.8,10,4.1,1421,4167,?,?,?
4820,NGC5728,220.6,-17.2531,2788,2012-11-05,40.1,10,4.2,1421,4167,?,?,?
4821,NGC5728,220.6,-17.2531,2788,2005-02-03,68.7,16,6.5,1421,4167,?,?,?
4822,NGC5728,220.6,-17.2531,2788,2009-12-14,49.5,25,3.0,1421,4167,?,?,?
4823,NGC5728,220.6,-17.253,2788,2003-10-30,72.1,52,3.5,1421,4167,?,?,?
4824,NGC5728,220.6,-17.253,2788,2015-01-23,59.6,8,6.6,1421,4167,?,?,?
4825,NGC5728,220.6,-17.2531,2788,2004-07-12,130.9,8,13.7,1421,4168,?,?,?
4826,NGC5728,220.6,-17.2531,2788,2004-11-14,38.7,44,1.8,1421,4167,?,?,?
4827,NGC5728,220.6,-17.2531,2788,2006-05-21,60.1,25,4.4,1421,4167,?,?,?
4828,NGC5728,220.6,-17.2531,2788,2012-04-08,61.1,20,4.8,1421,4167,?,?,?
4829,NGC5728,220.6,-17.2531,2788,2012-03-10,48.3,10,5.3,1421,4167,?,?,?
4830,NGC5728,220.6,-17.2531,2788,2013-11-24,37.8,15,3.4,1421,4167,?,?,?
4831,NGC5728,220.6,-17.2531,2788,2012-02-21,50.3,21,3.8,1421,4167,?,?,?
4832,NGC5728,220.6,-17.2531,2788,2005-12-08,47.7,40,2.5,1421,4167,?,?,?
4833,NGC5728,220.6,-17.2528,2800,2003-03-07,40.6,50,1.8,1433,4179,?,?,?
4834,NGC5728,220.601,-17.2533,2800,2003-06-02,67.7,36,3.6,1433,4180,?,?,?
4835,NGC5728,220.602,-17.253,2800,2003-04-27,45.6,48,2.1,1433,4179,?,?,?
4836,NGC5728test,220.602,-17.2534,2800,2003-06-02,60.6,1,26.0,1433,4180,?,?,?
4837,144233+284335,220.639,28.7263,3724,2008-02-03,39.4,10,3.7,2348,5112,3.4,4834,7643
4838,NGC-5735,220.64,28.7256,3742,2008-05-06,53.4,5,7.5,2366,5130,6.4,4852,7662
4839,J1442+3057,220.647,30.9584,6843,2015-01-23,42.4,10,4.2,5439,8260,?,?,?
4840,144238+241744,220.658,24.2954,11548,2008-02-29,37.3,10,3.3,10101,13008,3.2,12716,15673
4841,144238+241744,220.658,24.2954,11548,2008-02-15,36.7,10,3.3,10101,13008,3.2,12716,15673
4842,SDSSJ14427+0119,220.677,1.31978,10109,2016-02-09,45.1,10,4.3,8765,11465,?,?,?
4843,SDSSJ14428+6111,220.707,61.1938,14400,2016-05-24,77.6,10,8.0,13018,15794,?,?,?
4844,J144307+010600,220.782,1.10006,10148,2012-12-23,38.4,4,6.3,8714,11595,?,?,?
4845,144308.2+611914,220.784,61.3207,14874,2012-12-15,43.2,10,4.3,13396,16366,?,?,?
4846,SDSSJ14435+4923,220.88,49.393,9000,2016-03-29,50.3,8,5.6,7665,10347,?,?,?
4847,144346+233230,220.942,23.5416,11626,2008-02-15,36.7,10,3.3,10178,13087,3.3,12794,15753
